                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.78849,                0.95996,                 1.1261,                0.45667,                 0.5959,                0.50615,                0.27364,                 1.4769,                 1.7068,                 2.0189,               0.000706,               0.000706,               0.000706
                     79,                 0.8082,                 1.0032,                 1.1494,                0.51674,                0.55177,                0.53136,                0.30448,                 1.4381,                 1.6871,                 1.9247,             0.00070435,             0.00070435,             0.00070435
                     80,                0.75636,                0.99952,                 1.1356,                0.38813,                0.67843,                0.51479,                0.30334,                 1.3504,                 1.6067,                 1.8523,              0.0007027,              0.0007027,              0.0007027
                     81,                0.77012,                0.97253,                 1.1394,                0.42956,                0.61759,                0.53713,                0.31976,                 1.3727,                 1.6324,                 1.8913,             0.00070105,             0.00070105,             0.00070105
                     82,                0.77711,                0.93362,                  1.142,                0.37317,                 0.6636,                0.49958,                0.30501,                 1.3037,                 1.7625,                 1.8946,              0.0006994,              0.0006994,              0.0006994
                     83,                0.82567,                0.96743,                 1.1523,                0.37399,                0.65818,                0.53443,                0.31418,                  1.327,                 1.6245,                  1.862,             0.00069775,             0.00069775,             0.00069775
                     84,                 0.7701,                0.95466,                 1.1589,                 0.3701,                0.75882,                0.54898,                0.30439,                 1.3977,                 1.6063,                 1.9332,              0.0006961,              0.0006961,              0.0006961
                     85,                0.79804,                0.93484,                  1.131,                0.40755,                0.75873,                0.56855,                0.32677,                 1.3471,                 1.5297,                 1.8655,             0.00069446,             0.00069446,             0.00069446
                     86,                0.78034,                0.91242,                 1.1058,                0.40152,                0.72688,                 0.5437,                0.33454,                 1.3114,                  1.448,                 1.8434,             0.00069281,             0.00069281,             0.00069281
                     87,                0.77136,                0.96951,                 1.1333,                0.40682,                0.75771,                0.54025,                0.31721,                 1.3889,                 1.4963,                  1.902,             0.00069116,             0.00069116,             0.00069116
                     88,                0.78916,                 0.8874,                 1.1258,                0.37454,                0.67384,                0.49326,                0.28423,                 1.3455,                 1.6252,                 1.8861,             0.00068951,             0.00068951,             0.00068951
                     89,                0.75883,                0.97318,                  1.135,                0.32483,                0.67416,                0.44544,                0.27567,                 1.4559,                 1.6543,                 1.8738,             0.00068786,             0.00068786,             0.00068786
                     90,                0.76559,                0.93156,                 1.0928,                0.44508,                0.59457,                 0.5388,                0.33304,                 1.2425,                 1.8276,                 1.7338,             0.00068621,             0.00068621,             0.00068621
