                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 0.6845,                 1.0846,                 1.2991,                0.22697,                0.17868,                0.11822,                0.08888,                 2.5258,                 5.3607,                   3.41,             0.00070105,             0.00070105,             0.00070105
                     82,                0.70476,                 1.0793,                  1.307,                 0.2157,                0.17139,                0.09992,                0.07833,                 2.5154,                 5.4796,                 3.4524,              0.0006994,              0.0006994,              0.0006994
                     83,                0.67407,                 1.0334,                  1.298,                0.28073,                0.14405,                0.11468,                0.09234,                 2.4118,                 5.3814,                 3.3366,             0.00069775,             0.00069775,             0.00069775
                     84,                0.68027,                 1.0734,                 1.2828,                0.18282,                0.14344,                0.08492,                 0.0641,                 2.5803,                 5.5103,                 3.5413,              0.0006961,              0.0006961,              0.0006961
                     85,                0.67005,                 1.0746,                  1.292,                0.05242,                0.21321,                0.06845,                0.04895,                 2.6455,                 5.8381,                 3.6561,             0.00069446,             0.00069446,             0.00069446
                     86,                0.68008,                 1.0749,                 1.2903,                0.18705,                0.10192,                 0.0813,                0.05857,                 2.5414,                 5.6115,                 3.4637,             0.00069281,             0.00069281,             0.00069281
                     87,                0.67967,                 1.1695,                 1.2876,                0.11785,                0.15896,                  0.062,                0.04656,                 2.5106,                 5.6787,                 3.4603,             0.00069116,             0.00069116,             0.00069116
                     88,                0.65917,                 1.0912,                 1.2741,                 0.0485,                0.22423,                0.06985,                0.05002,                 2.4856,                 5.6533,                 3.4142,             0.00068951,             0.00068951,             0.00068951
                     89,                0.65656,                 1.1087,                 1.2836,                0.15824,                0.14459,                0.08382,                0.06348,                 2.4857,                 5.5423,                 3.2959,             0.00068786,             0.00068786,             0.00068786
                     90,                0.67572,                  1.048,                 1.2752,                0.20821,                0.15041,                 0.0853,                0.06332,                 2.4617,                 5.6071,                 3.3011,             0.00068621,             0.00068621,             0.00068621
                     91,                 0.6327,                 1.0001,                 1.2409,                0.28841,                0.14137,                0.10298,                0.06916,                  2.589,                 5.5597,                 3.4056,             0.00068456,             0.00068456,             0.00068456
                     92,                0.65265,                 1.0134,                 1.2643,                0.30226,                0.14204,                0.09066,                0.06468,                 2.5432,                 5.5968,                 3.4017,             0.00068291,             0.00068291,             0.00068291
                     93,                 0.6495,                 1.0173,                 1.2652,                0.31005,                0.15952,                0.10537,                0.07917,                 2.5895,                 5.5579,                 3.4199,             0.00068126,             0.00068126,             0.00068126
                     94,                0.66102,                 1.0749,                 1.2731,                 0.2882,                0.16268,                0.10973,                0.08818,                 2.5276,                 5.5693,                 3.4083,             0.00067961,             0.00067961,             0.00067961
                     95,                0.63932,                 1.0039,                 1.2576,                0.14109,                0.19667,                0.09317,                0.06805,                 2.5338,                 5.7353,                 3.5465,             0.00067796,             0.00067796,             0.00067796
                     96,                0.67654,                   1.02,                 1.2761,                0.29291,                0.15026,                0.10717,                0.08039,                 2.6208,                 5.6733,                 3.5558,             0.00067631,             0.00067631,             0.00067631
